amfi_code,fund_name,cagr
120505,ICICI Pru Midcap Fund - Regular - Growth,0.32093479252422474
119598,SBI Small Cap Fund - Regular Plan - Growth,0.3155417326416201
149324,DSP Small Cap Fund - Regular - Growth,0.3130007730097084
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.3043472654509627
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2930782821000395
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.2919805651631817
120843,Kotak Flexicap Fund - Regular - Growth,0.2916681455886083
149323,DSP Midcap Fund - Regular - Growth,0.2839600073808435
119094,Axis Midcap Fund - Regular - Growth,0.27202971093533734
119551,SBI Bluechip Fund - Regular Plan - Growth,0.2481583091667401
118632,Nippon India Large Cap Fund - Regular - Growth,0.23135375521457213
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.22703522023936396
101206,ABSL Frontline Equity Fund - Regular - Growth,0.2259554592416353
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.212287331019114
119552,SBI Bluechip Fund - Direct Plan - Growth,0.21186862087109115
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.17961534180131866
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.17255622378647328
102887,UTI Flexi Cap Fund - Regular - Growth,0.16473771900634082
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.16426174860560927
118633,Nippon India Large Cap Fund - Direct - Growth,0.16037122082018107
118634,Nippon India Small Cap Fund - Regular - Growth,0.1585011448920397
118635,Nippon India ETF Nifty 50 BeES,0.1560445271915949
149322,DSP Top 100 Equity Fund - Regular - Growth,0.13108719756270415
120841,Kotak Bluechip Fund - Regular - Growth,0.1294051715790443
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.12777196785111467
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.1100714278288617
101207,ABSL Small Cap Fund - Regular - Growth,0.07908392512271889
119093,Axis Bluechip Fund - Direct - Growth,0.07614905045252951
120507,ICICI Pru Liquid Fund - Regular - Growth,0.06963971521481649
119092,Axis Bluechip Fund - Regular - Growth,0.06291432420976317
101208,ABSL Liquid Fund - Regular - Growth,0.06277182379105373
120842,Kotak Emerging Equity Fund - Regular - Growth,0.060588564713299986
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.05615925074406469
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.050538711711369366
100025,HDFC Short Term Debt Fund - Regular - Growth,0.04380100085840155
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.027767290988929716
119599,SBI Small Cap Fund - Direct Plan - Growth,0.024052372519076437
119095,Axis Small Cap Fund - Regular - Growth,0.010550755924262134
102886,UTI Mid Cap Fund - Regular - Growth,0.008812109804251289
