amfi_code,cagr,volatility,sharpe_ratio,max_drawdown,var_95,cvar_95,fund_name
100016,0.027767290988929716,0.14548134802183876,-0.1528217143529138,-0.24734440880673303,-0.014363639988111142,-0.01806020763217176,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.04380100085840155,0.039052455281001604,-0.15873519595614685,-0.04308263824636327,-0.003793246199522682,-0.004993763020560281,HDFC Short Term Debt Fund - Regular - Growth
100033,0.2930782821000395,0.18936710835214166,1.2836351793893273,-0.16217208574644837,-0.019033535861558825,-0.023455762770703794,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.2259554592416353,0.14568212847454326,1.2078040119545759,-0.11291596329323095,-0.013281661986281489,-0.017439425687129195,ABSL Frontline Equity Fund - Regular - Growth
101207,0.07908392512271889,0.2579732221707774,0.11274009324683097,-0.35446916493366043,-0.026021248221061066,-0.03245905898704435,ABSL Small Cap Fund - Regular - Growth
101208,0.06277182379105373,0.005064371352310742,2.5218971719414434,-0.0016224980244715637,-0.0002686575130400159,-0.0004220820655857685,ABSL Liquid Fund - Regular - Growth
102885,0.17255622378647328,0.1283662839786056,0.9547384249815888,-0.10859862152502298,-0.01261262882069356,-0.01549040525311211,UTI Nifty 50 Index Fund - Regular - Growth
102886,0.008812109804251289,0.18134576297311303,-0.2271235319782761,-0.2800112356639297,-0.01922028344426503,-0.023250860269221213,UTI Mid Cap Fund - Regular - Growth
102887,0.16473771900634082,0.15758366917912994,0.7281066598082262,-0.21285398874796857,-0.015231617279157872,-0.019411182679158694,UTI Flexi Cap Fund - Regular - Growth
118632,0.23135375521457213,0.14148352294996655,1.2818012404080799,-0.17414075086657277,-0.013954045870018117,-0.017618579320162156,Nippon India Large Cap Fund - Regular - Growth
118633,0.16037122082018107,0.13997213649186155,0.7885227987971622,-0.18629743138595556,-0.013442525143024242,-0.016630178254004827,Nippon India Large Cap Fund - Direct - Growth
118634,0.1585011448920397,0.2524152094634046,0.4298518505390235,-0.23344886144833177,-0.025438111458963106,-0.032304072697818535,Nippon India Small Cap Fund - Regular - Growth
118635,0.1560445271915949,0.12983158874316306,0.8167852540214656,-0.11511457598975472,-0.012553697284754662,-0.01617696049480912,Nippon India ETF Nifty 50 BeES
118636,0.050538711711369366,0.039855381553882616,0.01351666174970751,-0.0831636176363858,-0.003804146068944347,-0.004918918420478294,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.06291432420976317,0.13950661341123835,0.09257141216448467,-0.1440161790933725,-0.013749592076363814,-0.017327870956436054,Axis Bluechip Fund - Regular - Growth
119093,0.07614905045252951,0.13983295593638856,0.18700205740072445,-0.21751396370148146,-0.014225516634796053,-0.01748670974901306,Axis Bluechip Fund - Direct - Growth
119094,0.27202971093533734,0.1940711742333472,1.1440633149793455,-0.20960883862039204,-0.018480276243938307,-0.02426005947837057,Axis Midcap Fund - Regular - Growth
